"ProductID","Description","CategoryID","AvailablePortal","BoxID","Active","CreateDate","LastUpdateDate"
"3016961","Gene 4 lace-up sneaker","","1","23","1","2022-10-09","2024-11-04"
"10003157","Snap Bright white skinny jean","","0","","1","2022-08-23","2023-11-24"
"10003166","Carrie black slim fit jeans","","0","","1","2023-06-26","2024-04-25"
"10003168","DRDENIM AUDREY RAWINDIGO -","","1","","1","2022-11-07","2023-10-07"
"10003169","Kinmei raw indigo boyfriend jeans","","0","","1","2022-03-27","2024-07-21"
"10003213","FRED PERRY BY SWEAR STBOOT1 BLACK","","0","","1","2022-06-22","2024-08-12"
"10003235","Patent lace ups","","0","","1","2022-04-08","2024-12-19"
"10003240","Tumbled leather penny loafers","","0","","1","2022-03-01","2024-09-02"
"10003245","Leather logo lace ups","","0","","1","2022-06-04","2024-10-17"
"10003779","SCHMOOVE JMAICACVOVERNIS BLACK - -","","0","","1","2022-09-04","2023-11-09"
"10003792","SCHMOOVE JAMAICA CVO BLACK","","0","","1","2022-03-25","2024-06-18"
"10003797","SCHMOOVE EMPIRE REDABLACK - -","","0","","1","2022-08-12","2023-10-30"
"10003828","Casual logo lace ups","","0","","1","2023-03-26","2023-07-26"
"10003843","SUPER YELLOW","","0","","1","2022-01-05","2023-08-02"
"10003927","SWEAR DEAN2 BCKICEPRI - RAINBOWWTO139","","0","28","1","2022-09-15","2023-11-05"
"10003930","SWEAR DEAN2 CHARLE RIZE DEMUR GOLD","","0","28","1","2022-01-20","2024-07-20"
"10003932","SWEAR JIMMYPOINTITOE1 BLACK&GREY - -","","0","28","1","2022-10-19","2024-12-21"
"10004031","PAUL SMITH RABBIT BLACK LEATHER BLACK SUM","","0","","1","2023-01-26","2023-10-25"
"10004037","PAUL SMITH RABBIT WIHTAGRN LEATHER WHITE SUM","","0","","1","2022-10-13","2023-09-23"
"10004039","PAUL SMITH RABBIT WHITE RED LEATHER WHITE SUM","","0","","1","2022-09-06","2024-06-09"
"10004042","PAUL SMITH APACHE BEIGE LEATHER BEIGE SUM","","0","","1","2023-05-01","2024-05-08"
"10004047","PAUL SMITH BRASOW BLACK LEATHER BLACK SUM","","0","","1","2022-12-11","2023-11-14"
"10004051","PAUL SMITH MILLER BEIGE LEATHER BEIGE SUM","","0","","1","2022-12-12","2024-08-05"
"10004052","PAUL SMITH TAILORS BROWN CROUTE BLACK SUM","","0","","1","2023-04-04","2023-10-26"
"10004080","PAUL SMITH WEST BROWN LEATHER WHITE SUM","","0","","1","2022-11-14","2023-12-04"
"10004188","GIRBAUD TEMOIN BLACK LEATHER GUM","","0","","1","2022-08-03","2023-11-10"
"10004191","Leather and canvas shoe","","0","","1","2022-09-10","2024-02-13"
"10004195","Leather and canvas shoes","","0","","1","2023-05-13","2024-01-17"
"10004203","BIKKEMBERGS BOTTE BLACK LEATHER GUM","","0","24","1","2023-03-29","2024-01-29"
